Indv_ID,Median Number of Roots,Maximum Number of Roots,Number of Root Tips,Total Root Length,Depth,Maximum Width,Width-to-Depth Ratio,Network Area,Convex Area,Solidity,Lower Root Area,Average Diameter,Median Diameter,Maximum Diameter,Perimeter,Volume,Surface Area,Holes,Average Hole Size,Computation Time,Average Root Orientation,Shallow Angle Frequency,Medium Angle Frequency,Steep Angle Frequency,Fine Diameter Frequency,Medium Diameter Frequency,Coarse Diameter Frequency
160_271_388,1,5,31,3110.733333,1038.666667,488.3333333,0.479496333,98564.66667,281031.6667,0.440521,44736.33333,52.7353,46.68173333,137.8086667,4455.453333,9650000,464468.6667,3,700.43,0.133333333,53.57293333,0.29669,0.202415333,0.500894667,0.044451767,0.132154067,0.823394333
160_271_390,1,5,45,3635.38,1243,332,0.267096,159150,296595,0.53659,81936,65.155,60.1663,143.694,4540.45,17100000,745111,2,413.5,0.121,54.9372,0.269368,0.192491,0.538141,0.0309893,0.0718117,0.897199
160_271_392,3,16.66666667,264.6666667,18732.33333,2300.666667,916,0.392305,192038.3333,1272280.667,0.15701,148719.6667,15.4364,9.96937,129.8206667,28399.53333,9560000,917277.6667,115.6666667,1297.56,0.268333333,55.71783333,0.196510667,0.277939333,0.52555,0.203709,0.314844667,0.481446333
160_271_394,2.666666667,14,161.3333333,13498.68,1558.333333,986.6666667,0.633377333,173638,922411.6667,0.195681333,130314.6667,21.14156667,11.3647,136.5343333,19248.4,11530000,888398.6667,74,780.7553333,0.194333333,50.0495,0.279206,0.294608,0.426186,0.132933733,0.319318,0.547748333
160_271_396,2.666666667,10.66666667,78.33333333,8681.906667,1537,630.3333333,0.425927333,145981.6667,553801,0.281121667,105896.6667,31.46136667,16.92763333,148.1573333,12225.88333,13133333.33,783380,31.33333333,1786.238667,0.157666667,54.08553333,0.246334,0.233218667,0.520447333,0.088157667,0.222715667,0.689126333
160_271_397,1,3,23.66666667,1618.603333,727,239.3333333,0.340740333,64840,120931.8333,0.561501667,34914.33333,58.75623333,68.724,117.3356667,2197.553333,5823333.333,292624,0.666666667,NA,0.087,54.3763,0.278920667,0.198804667,0.522274667,0.046207967,0.078799833,0.874992
160_271_400,3.333333333,13.33333333,186,15355.56667,2309.333333,833.3333333,0.383282333,207642,1266666.667,0.16662,147557.3333,23.2363,12.3975,166.555,22035.8,18000000,1113333.333,74,1107.733,0.236666667,56.39686667,0.201993667,0.245909333,0.552097,0.138427333,0.266892667,0.594679667
160_271_401,1.333333333,8.333333333,83.66666667,6568.936667,1600.666667,660.6666667,0.42585,143954,610143,0.243046667,81391,31.17666667,14.92413333,132.618,9769.473333,11163333.33,646864,15.66666667,1180.020667,0.149666667,57.64466667,0.196906,0.23968,0.563414,0.072989633,0.203141,0.723869333
160_271_403,1.333333333,4,34.66666667,2919.883333,1100,545.6666667,0.483127667,97758.66667,476801,0.3376864,78676,53.9186,55.94193333,145.9226667,4293.79,9293333.333,451826,1.333333333,NA,0.125,56.35293333,0.241971667,0.206531667,0.551497333,0.040255267,0.093027867,0.866716667
160_271_406,1,7,87,6012.53,1660,485,0.292169,133864,537914,0.248858,57222,36.8412,18.868,138.708,7832.41,12600000,709477,17,636.118,0.146,52.4113,0.24829,0.293215,0.458495,0.13459,0.224626,0.640784
160_271_408,1.666666667,7,57,5085.246667,1435.333333,631,0.438801,100279,597932.6667,0.219186,81896.66667,32.07506667,17.43606667,132.6926667,8080.186667,6840000,450243.3333,6.333333333,NA,0.151,58.6509,0.209586333,0.194976,0.595438,0.0826978,0.215153,0.702149333
160_271_409,1,8.666666667,60.66666667,5266.163333,1498.666667,582,0.381597,138334,519452.3333,0.289678,62898.33333,40.34056667,17.08266667,151.1806667,7561.31,13700000,648748.6667,14,606.8243333,0.152,56.33973333,0.209361667,0.245347,0.545291667,0.1030631,0.232424667,0.664511667
160_271_410,3.333333333,16,267.3333333,17386.87333,2010,724,0.377476333,214765,937373.3333,0.242691667,175171.3333,22.9111,12.25676667,154.244,22656.7,17200000,1212201,110,594.5243333,0.216666667,52.71616667,0.256224333,0.249417,0.494359,0.1303873,0.287993,0.581619667
160_271_411,2.666666667,10,74,8459.163333,1762.333333,758.6666667,0.437390333,132523.3333,907513.6667,0.147025,111288.6667,20.7598,12.74086667,112.5751667,14271.36667,6000000,547419.3333,18,3869.65,0.195333333,60.8175,0.147805333,0.240782333,0.611412667,0.0742732,0.274631333,0.651095333
160_271_413,2,7,54.33333333,5680.07,1357.666667,662.6666667,0.473097,144458.6667,606356,0.286225,76319,45.6202,42.6995,144.4576667,8375.866667,12633333.33,678443.3333,10.66666667,NA,0.157666667,55.84403333,0.214584,0.266018333,0.519398333,0.0455582,0.148960333,0.805481667
160_271_415,2,10.66666667,127,9867.98,2039.333333,1064.666667,0.569999,122921,1230000,0.099182,96414,18.64526667,12.9708,119.804,15869.4,5563333.333,550038.6667,25,576.628,0.227333333,57.27106667,0.171662333,0.287160333,0.541177,0.150099333,0.252664,0.597236667
